tipo	grupo	nombre	version	licencia	purl
library	-	@paralleldrive/cuid2	2.3.1	MIT	pkg:npm/%40paralleldrive/cuid2@2.3.1
library	-	@sinclair/typebox	0.27.12	MIT	pkg:npm/%40sinclair/typebox@0.27.12
library	-	@sinonjs/commons	3.0.1	BSD-3-Clause	pkg:npm/%40sinonjs/commons@3.0.1
library	-	@sinonjs/fake-timers	10.3.0	BSD-3-Clause	pkg:npm/%40sinonjs/fake-timers@10.3.0
library	-	@types/babel__core	7.20.5	MIT	pkg:npm/%40types/babel__core@7.20.5
library	-	@types/babel__generator	7.27.0	MIT	pkg:npm/%40types/babel__generator@7.27.0
library	-	@types/babel__template	7.4.4	MIT	pkg:npm/%40types/babel__template@7.4.4
library	-	@types/babel__traverse	7.28.0	MIT	pkg:npm/%40types/babel__traverse@7.28.0
library	-	@types/graceful-fs	4.1.9	MIT	pkg:npm/%40types/graceful-fs@4.1.9
library	-	@types/istanbul-lib-coverage	2.0.6	MIT	pkg:npm/%40types/istanbul-lib-coverage@2.0.6
library	-	@types/istanbul-lib-report	3.0.3	MIT	pkg:npm/%40types/istanbul-lib-report@3.0.3
library	-	@types/istanbul-reports	3.0.4	MIT	pkg:npm/%40types/istanbul-reports@3.0.4
library	-	@types/node	26.1.1	MIT	pkg:npm/%40types/node@26.1.1
library	-	@types/stack-utils	2.0.3	MIT	pkg:npm/%40types/stack-utils@2.0.3
library	-	@types/yargs	17.0.35	MIT	pkg:npm/%40types/yargs@17.0.35
library	-	@types/yargs-parser	21.0.3	MIT	pkg:npm/%40types/yargs-parser@21.0.3
library	-	accepts	1.3.8	MIT	pkg:npm/accepts@1.3.8
library	-	ansi-escapes	4.3.2	MIT	pkg:npm/ansi-escapes@4.3.2
library	-	ansi-regex	5.0.1	MIT	pkg:npm/ansi-regex@5.0.1
library	-	ansi-styles	4.3.0	MIT	pkg:npm/ansi-styles@4.3.0
library	-	anymatch	3.1.3	ISC	pkg:npm/anymatch@3.1.3
library	-	argparse	1.0.10	MIT	pkg:npm/argparse@1.0.10
library	-	array-flatten	1.1.1	MIT	pkg:npm/array-flatten@1.1.1
library	-	asap	2.0.6	MIT	pkg:npm/asap@2.0.6
library	-	asynckit	0.4.0	MIT	pkg:npm/asynckit@0.4.0
library	-	babel-jest	29.7.0	MIT	pkg:npm/babel-jest@29.7.0
library	-	babel-plugin-istanbul	6.1.1	BSD-3-Clause	pkg:npm/babel-plugin-istanbul@6.1.1
library	-	istanbul-lib-instrument	5.2.1	BSD-3-Clause	pkg:npm/istanbul-lib-instrument@5.2.1
library	-	babel-plugin-jest-hoist	29.6.3	MIT	pkg:npm/babel-plugin-jest-hoist@29.6.3
library	-	babel-preset-current-node-syntax	1.2.0	MIT	pkg:npm/babel-preset-current-node-syntax@1.2.0
library	-	babel-preset-jest	29.6.3	MIT	pkg:npm/babel-preset-jest@29.6.3
library	-	balanced-match	1.0.2	MIT	pkg:npm/balanced-match@1.0.2
library	-	base64-js	1.5.1	MIT	pkg:npm/base64-js@1.5.1
library	-	baseline-browser-mapping	2.11.4	Apache-2.0	pkg:npm/baseline-browser-mapping@2.11.4
library	-	better-sqlite3	11.10.0	MIT	pkg:npm/better-sqlite3@11.10.0
library	-	bindings	1.5.0	MIT	pkg:npm/bindings@1.5.0
library	-	bl	4.1.0	MIT	pkg:npm/bl@4.1.0
library	-	body-parser	1.20.6	MIT	pkg:npm/body-parser@1.20.6
library	-	brace-expansion	1.1.16	MIT	pkg:npm/brace-expansion@1.1.16
library	-	braces	3.0.3	MIT	pkg:npm/braces@3.0.3
library	-	browserslist	4.28.7	MIT	pkg:npm/browserslist@4.28.7
library	-	bser	2.1.1	Apache-2.0	pkg:npm/bser@2.1.1
library	-	buffer	5.7.1	MIT	pkg:npm/buffer@5.7.1
library	-	buffer-from	1.1.2	MIT	pkg:npm/buffer-from@1.1.2
